Actual,Predicted
95.0,115.15791672273345
147.0,116.90881194404466
127.0,146.4427564944989
203.0,141.74219368614652
192.0,183.93372269940457
172.0,188.1275339931599
166.0,185.72137104375142
177.0,191.0056086996744
205.0,187.0009716350836
198.0,189.48240532718657
164.0,185.70083185204967
213.0,172.31932511992736
192.0,184.79654206398544
184.0,182.97906691799642
155.0,128.5782045052679
68.0,102.3618065643155
101.0,109.8078774996376
116.0,109.8962189290903
175.0,95.68453252195494
79.0,138.61947913959523
68.0,103.97620938769518
57.0,90.7493208410136
100.0,94.71296311098085
71.0,90.63445445937921
86.0,85.27295361545592
93.0,86.50042731126933
80.0,90.10060479844114
97.0,87.93055007916396
157.0,113.25617846736257
154.0,119.93223239566908
142.0,130.1159034302893
73.0,112.61552284373516
113.0,121.27178348577769
96.0,102.13262992163055
91.0,118.23656364478437
160.0,113.66178968281079
182.0,182.09987747586965
170.0,186.2659265230019
171.0,184.68033286914704
185.0,190.45107079881524
158.0,191.09416406312812
206.0,180.6381418324914
220.0,186.77973028347657
211.0,175.42407952283057
